epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,585.425,0.26743,0.22593,0.05532,0.00087,0.95566,0.94648,0.96807,0.95124,0.22486,0.28006,0.04751,0.01246,0.00107288,0.00107288,0.00107288
38,600.075,0.24704,0.20724,0.05192,0.00096,0.97831,0.92506,0.97594,0.9545,0.22201,0.29784,0.04847,0.01316,0.00105638,0.00105638,0.00105638
39,615.948,0.2707,0.2207,0.05101,0.00091,0.9679,0.93676,0.97467,0.95884,0.19057,0.27898,0.0467,0.01191,0.00103987,0.00103987,0.00103987
40,635.443,0.24778,0.19655,0.0503,0.00126,0.99575,0.96443,0.97953,0.94864,0.27646,0.18428,0.05229,0.01086,0.00102337,0.00102337,0.00102337
41,650.927,0.2527,0.20801,0.0537,0.00085,0.99331,0.96951,0.98,0.95661,0.25714,0.21184,0.05094,0.01162,0.00100687,0.00100687,0.00100687
42,666.208,0.25603,0.20273,0.05023,0.00113,0.96941,0.98269,0.97906,0.96362,0.22018,0.15665,0.05089,0.01184,0.000990365,0.000990365,0.000990365
43,682.18,0.25275,0.20824,0.05275,0.00117,0.97196,0.94494,0.97356,0.95866,0.18524,0.1788,0.0458,0.01196,0.000973861,0.000973861,0.000973861
44,697.302,0.25326,0.20115,0.05582,0.00103,0.97271,0.91172,0.98354,0.96184,0.21904,0.21685,0.04872,0.0114,0.000957358,0.000957358,0.000957358
45,714.897,0.2319,0.18199,0.05274,0.00085,0.9961,0.94748,0.9814,0.95923,0.22409,0.24171,0.04833,0.01186,0.000940855,0.000940855,0.000940855
46,735.301,0.25182,0.19494,0.05387,0.00081,0.99511,0.96221,0.98576,0.95612,0.22059,0.24538,0.05015,0.01158,0.000924352,0.000924352,0.000924352
47,751.485,0.23707,0.19786,0.05515,0.00095,0.88792,0.91619,0.9382,0.89434,0.3081,0.43534,0.05255,0.01125,0.000907848,0.000907848,0.000907848
48,770.027,0.23712,0.19596,0.05223,0.00073,0.94142,0.97356,0.97906,0.95306,0.24161,0.17235,0.05025,0.01067,0.000891345,0.000891345,0.000891345
49,786.337,0.22739,0.20519,0.0537,0.00081,0.92468,0.91295,0.97456,0.93624,0.25628,0.25844,0.05073,0.01076,0.000874842,0.000874842,0.000874842
50,801.072,0.23235,0.20309,0.05457,0.00075,0.9683,0.93377,0.96952,0.95141,0.20053,0.34612,0.04485,0.01062,0.000858338,0.000858338,0.000858338
51,820.91,0.21429,0.1756,0.05074,0.00088,0.91359,0.95406,0.97046,0.95332,0.20692,0.26955,0.04909,0.01099,0.000841835,0.000841835,0.000841835
52,835.749,0.2217,0.18182,0.05075,0.00078,0.92955,0.99835,0.99058,0.9676,0.19958,0.22454,0.04709,0.01029,0.000825332,0.000825332,0.000825332
53,851.121,0.21224,0.17014,0.05032,0.00073,0.97512,0.96875,0.99194,0.96069,0.20395,0.15055,0.04638,0.01003,0.000808828,0.000808828,0.000808828
54,873.328,0.2112,0.17263,0.05046,0.00079,0.9705,0.94114,0.98796,0.95505,0.21096,0.15282,0.04725,0.01008,0.000792325,0.000792325,0.000792325
