epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,500.086,0.23582,0.22764,0.0546,0.00076,0.91166,0.92735,0.97729,0.94489,0.2415,0.27812,0.04886,0.01153,0.00107288,0.00107288,0.00107288
38,511.607,0.21769,0.2095,0.05101,0.00071,0.90066,0.95265,0.98164,0.94581,0.21385,0.29673,0.04732,0.0115,0.00105638,0.00105638,0.00105638
39,524.685,0.25304,0.22882,0.05256,0.00076,0.91708,0.94494,0.98145,0.96644,0.17552,0.37272,0.04366,0.01054,0.00103987,0.00103987,0.00103987
40,538.962,0.22969,0.20362,0.0514,0.00096,0.99648,0.96207,0.99038,0.96943,0.20022,0.19409,0.04736,0.01104,0.00102337,0.00102337,0.00102337
41,552.103,0.24135,0.22311,0.05553,0.00075,0.98283,0.97435,0.99455,0.97892,0.18596,0.14438,0.04296,0.01072,0.00100687,0.00100687,0.00100687
42,566.179,0.22486,0.20197,0.05171,0.00084,0.97374,0.93546,0.99068,0.97338,0.18128,0.16114,0.04523,0.01034,0.000990365,0.000990365,0.000990365
43,582.896,0.2224,0.20143,0.05409,0.00078,0.95853,0.99437,0.99275,0.97828,0.16872,0.12574,0.0437,0.01032,0.000973861,0.000973861,0.000973861
44,597.325,0.21202,0.18783,0.05418,0.00075,0.89176,0.95168,0.97912,0.96827,0.16829,0.20285,0.04183,0.01103,0.000957358,0.000957358,0.000957358
45,613.117,0.21452,0.19135,0.05094,0.00065,0.95843,0.93715,0.98707,0.97031,0.2093,0.20426,0.04627,0.0108,0.000940855,0.000940855,0.000940855
46,627.058,0.22409,0.2092,0.05115,0.00073,0.98394,0.94951,0.99137,0.97584,0.1675,0.18386,0.04593,0.01081,0.000924352,0.000924352,0.000924352
47,643.812,0.2153,0.1907,0.05011,0.0007,0.97353,0.88961,0.98139,0.97131,0.17042,0.22648,0.04588,0.01081,0.000907848,0.000907848,0.000907848
48,657.899,0.21113,0.18307,0.04819,0.0006,0.92234,0.97967,0.97469,0.96577,0.19526,0.31603,0.0453,0.01092,0.000891345,0.000891345,0.000891345
49,675.586,0.21338,0.19768,0.05113,0.00066,0.95214,0.8924,0.97773,0.95397,0.17543,0.29882,0.04363,0.01067,0.000874842,0.000874842,0.000874842
50,691.394,0.21901,0.20815,0.05411,0.00056,0.92269,0.93088,0.97906,0.9668,0.17196,0.24562,0.0445,0.01045,0.000858338,0.000858338,0.000858338
51,705.216,0.20256,0.18489,0.05,0.00064,0.93162,0.89692,0.9697,0.9633,0.14818,0.25547,0.04152,0.00978,0.000841835,0.000841835,0.000841835
52,718.916,0.20181,0.19028,0.04948,0.00064,0.9605,0.95054,0.99102,0.97738,0.16533,0.22049,0.04541,0.01007,0.000825332,0.000825332,0.000825332
53,734.676,0.19959,0.16927,0.05025,0.0006,0.94835,0.98438,0.98731,0.97539,0.14876,0.15778,0.04191,0.01008,0.000808828,0.000808828,0.000808828
54,747.955,0.20028,0.17786,0.05042,0.00065,0.94253,0.98154,0.99028,0.98037,0.14318,0.13563,0.04247,0.01015,0.000792325,0.000792325,0.000792325
55,761.165,0.19746,0.1785,0.05182,0.0006,1,0.92605,0.99107,0.98217,0.15712,0.13835,0.04254,0.01014,0.000775822,0.000775822,0.000775822
56,775.881,0.20034,0.18271,0.05355,0.00061,0.97653,0.9595,0.99097,0.98008,0.14249,0.15987,0.04276,0.01062,0.000759318,0.000759318,0.000759318
57,789.445,0.19722,0.17311,0.05079,0.00068,0.92618,0.98403,0.9902,0.97914,0.14081,0.15641,0.04205,0.01041,0.000742815,0.000742815,0.000742815
58,804.027,0.18497,0.16391,0.04914,0.00064,0.92897,0.94898,0.98219,0.97193,0.13406,0.23808,0.04087,0.00994,0.000726312,0.000726312,0.000726312
59,819.327,0.18528,0.17473,0.04865,0.00069,0.97279,0.96057,0.9686,0.95401,0.15891,0.33687,0.04359,0.01133,0.000709809,0.000709809,0.000709809
60,832.683,0.18307,0.17763,0.05022,0.00064,0.9747,0.95825,0.9919,0.98432,0.15664,0.14031,0.04436,0.01049,0.000693305,0.000693305,0.000693305
61,847.585,0.1876,0.17176,0.05133,0.00052,0.96668,0.97721,0.97909,0.97275,0.15429,0.15664,0.04557,0.00993,0.000676802,0.000676802,0.000676802
62,860.517,0.18686,0.16714,0.05097,0.00056,0.95396,0.94958,0.98366,0.97603,0.1416,0.20028,0.04244,0.01008,0.000660299,0.000660299,0.000660299
63,872.935,0.18796,0.16538,0.05165,0.00066,0.85508,0.99218,0.97556,0.96534,0.12829,0.21073,0.04197,0.01023,0.000643795,0.000643795,0.000643795
64,891.368,0.17777,0.17846,0.051,0.00058,0.96698,0.95608,0.9903,0.98012,0.15433,0.14134,0.04411,0.01019,0.000627292,0.000627292,0.000627292
65,912.605,0.17371,0.15058,0.05065,0.00059,0.97697,0.95548,0.98535,0.97643,0.15698,0.1699,0.04379,0.01017,0.000610789,0.000610789,0.000610789
66,925.994,0.16076,0.12401,0.05344,0.00056,0.94778,0.94318,0.98362,0.97481,0.14805,0.18257,0.04189,0.01042,0.000594286,0.000594286,0.000594286
